dependency_name,parsed_date,version,serializable_cnt,add_class,remove_class,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,next_version,download_url
ch.qos.logback.logback-classic,2024-02-28,1.5.1,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.2,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.1/logback-classic-1.5.1.jar
ch.qos.logback.logback-classic,2024-03-02,1.5.2,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.3,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.2/logback-classic-1.5.2.jar
ch.qos.logback.logback-classic,2024-03-04,1.5.3,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.4,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.3/logback-classic-1.5.3.jar
ch.qos.logback.logback-classic,2024-04-09,1.5.4,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.5,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.4/logback-classic-1.5.4.jar
ch.qos.logback.logback-classic,2024-04-12,1.5.5,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.6,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.5/logback-classic-1.5.5.jar
ch.qos.logback.logback-classic,2024-04-17,1.5.6,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.7,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.6/logback-classic-1.5.6.jar
ch.qos.logback.logback-classic,2024-08-15,1.5.7,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.8,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.7/logback-classic-1.5.7.jar
ch.qos.logback.logback-classic,2024-09-06,1.5.8,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.9,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.8/logback-classic-1.5.8.jar
ch.qos.logback.logback-classic,2024-10-08,1.5.9,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.10,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.9/logback-classic-1.5.9.jar
ch.qos.logback.logback-classic,2024-10-12,1.5.10,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.11,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.10/logback-classic-1.5.10.jar
ch.qos.logback.logback-classic,2024-10-15,1.5.11,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.12,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.11/logback-classic-1.5.11.jar
ch.qos.logback.logback-classic,2024-10-25,1.5.12,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.13,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.12/logback-classic-1.5.12.jar
ch.qos.logback.logback-classic,2024-12-18,1.5.13,8,0.0,0.0,0.0,0.0,0.0,0.0,1.5.14,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.13/logback-classic-1.5.13.jar
